Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Train MetricGAN+-pesq
Train set:11572, Valid set:0, Test set:824
Model parameters:1.896M
Epoch:681 | Test PESQ:3.088 | Test CSIG:4.150 | Test CBAK:3.057 | Test COVL:3.611
Epoch:682 | Test PESQ:3.035 | Test CSIG:4.120 | Test CBAK:2.997 | Test COVL:3.569
Epoch:683 | Test PESQ:3.062 | Test CSIG:4.134 | Test CBAK:3.112 | Test COVL:3.589
Epoch:684 | Test PESQ:3.041 | Test CSIG:4.118 | Test CBAK:3.018 | Test COVL:3.571
Epoch:685 | Test PESQ:3.025 | Test CSIG:4.126 | Test CBAK:3.009 | Test COVL:3.566
Epoch:686 | Test PESQ:3.018 | Test CSIG:4.104 | Test CBAK:2.994 | Test COVL:3.551
Epoch:687 | Test PESQ:3.010 | Test CSIG:4.124 | Test CBAK:3.026 | Test COVL:3.557
Epoch:688 | Test PESQ:3.061 | Test CSIG:4.142 | Test CBAK:3.108 | Test COVL:3.593
Epoch:689 | Test PESQ:3.057 | Test CSIG:4.141 | Test CBAK:3.034 | Test COVL:3.588
Epoch:690 | Test PESQ:3.054 | Test CSIG:4.106 | Test CBAK:3.072 | Test COVL:3.568
Epoch:691 | Test PESQ:3.066 | Test CSIG:4.132 | Test CBAK:3.104 | Test COVL:3.590
Epoch:692 | Test PESQ:2.993 | Test CSIG:4.120 | Test CBAK:3.005 | Test COVL:3.548
Epoch:693 | Test PESQ:3.071 | Test CSIG:4.144 | Test CBAK:3.093 | Test COVL:3.600
Epoch:694 | Test PESQ:3.096 | Test CSIG:4.164 | Test CBAK:3.042 | Test COVL:3.620
Epoch:695 | Test PESQ:3.109 | Test CSIG:4.160 | Test CBAK:3.079 | Test COVL:3.627
Epoch:696 | Test PESQ:3.060 | Test CSIG:4.152 | Test CBAK:3.072 | Test COVL:3.600
Epoch:697 | Test PESQ:3.061 | Test CSIG:4.162 | Test CBAK:3.088 | Test COVL:3.607
Epoch:698 | Test PESQ:3.117 | Test CSIG:4.125 | Test CBAK:3.093 | Test COVL:3.613
Epoch:699 | Test PESQ:3.103 | Test CSIG:4.147 | Test CBAK:3.095 | Test COVL:3.616
Epoch:700 | Test PESQ:3.105 | Test CSIG:4.140 | Test CBAK:3.119 | Test COVL:3.615
Epoch:701 | Test PESQ:3.138 | Test CSIG:4.159 | Test CBAK:3.083 | Test COVL:3.641
Epoch:702 | Test PESQ:3.091 | Test CSIG:4.166 | Test CBAK:3.086 | Test COVL:3.622
Epoch:703 | Test PESQ:3.094 | Test CSIG:4.157 | Test CBAK:3.085 | Test COVL:3.618
Epoch:704 | Test PESQ:3.097 | Test CSIG:4.166 | Test CBAK:3.118 | Test COVL:3.624
Epoch:705 | Test PESQ:3.095 | Test CSIG:4.153 | Test CBAK:3.106 | Test COVL:3.616
Epoch:706 | Test PESQ:3.082 | Test CSIG:4.141 | Test CBAK:3.054 | Test COVL:3.601
Epoch:707 | Test PESQ:3.053 | Test CSIG:4.136 | Test CBAK:3.026 | Test COVL:3.584
Epoch:708 | Test PESQ:3.106 | Test CSIG:4.147 | Test CBAK:3.103 | Test COVL:3.618
Epoch:709 | Test PESQ:3.125 | Test CSIG:4.141 | Test CBAK:3.096 | Test COVL:3.624
Epoch:710 | Test PESQ:3.065 | Test CSIG:4.135 | Test CBAK:3.082 | Test COVL:3.590
Epoch:711 | Test PESQ:3.001 | Test CSIG:4.098 | Test CBAK:3.092 | Test COVL:3.540
Epoch:712 | Test PESQ:3.056 | Test CSIG:4.146 | Test CBAK:3.077 | Test COVL:3.593
Epoch:713 | Test PESQ:3.098 | Test CSIG:4.176 | Test CBAK:3.109 | Test COVL:3.630
Epoch:714 | Test PESQ:3.095 | Test CSIG:4.155 | Test CBAK:3.104 | Test COVL:3.619
Epoch:715 | Test PESQ:3.034 | Test CSIG:4.146 | Test CBAK:3.100 | Test COVL:3.583
Epoch:716 | Test PESQ:3.034 | Test CSIG:4.128 | Test CBAK:3.055 | Test COVL:3.572
Epoch:717 | Test PESQ:3.067 | Test CSIG:4.142 | Test CBAK:3.062 | Test COVL:3.595
Epoch:718 | Test PESQ:3.044 | Test CSIG:4.153 | Test CBAK:3.071 | Test COVL:3.591
Epoch:719 | Test PESQ:3.078 | Test CSIG:4.159 | Test CBAK:3.080 | Test COVL:3.612
Epoch:720 | Test PESQ:3.079 | Test CSIG:4.156 | Test CBAK:3.060 | Test COVL:3.608
Epoch:721 | Test PESQ:3.060 | Test CSIG:4.134 | Test CBAK:3.066 | Test COVL:3.588
Epoch:722 | Test PESQ:3.028 | Test CSIG:4.149 | Test CBAK:3.056 | Test COVL:3.581
Epoch:723 | Test PESQ:3.076 | Test CSIG:4.141 | Test CBAK:3.067 | Test COVL:3.598
Epoch:724 | Test PESQ:3.072 | Test CSIG:4.113 | Test CBAK:3.098 | Test COVL:3.581
Epoch:725 | Test PESQ:3.057 | Test CSIG:4.128 | Test CBAK:3.127 | Test COVL:3.584
Epoch:726 | Test PESQ:3.079 | Test CSIG:4.139 | Test CBAK:3.023 | Test COVL:3.599
Epoch:727 | Test PESQ:3.028 | Test CSIG:4.123 | Test CBAK:3.055 | Test COVL:3.567
